index,Date,close,high,low,open,volumefrom,volumeto,cRSI,MACD,MACD_Signal,candlestick_pattern,candlestick_match_count
550,2020-07-16,9133.23,9216.53,9029.17,9193.22,27882.77,254255550.28,27.04,-29.540742926839812,-29.877043220937253,,
551,2020-07-17,9156.79,9183.08,9080.61,9133.23,20542.6,187710134.42,53.3,-33.04161694337563,-30.50995796542493,,
552,2020-07-18,9177.22,9205.94,9125.92,9156.79,11952.82,109563331.59,59.49,-33.77818072336231,-31.163602517012407,,
553,2020-07-19,9216.02,9238.3,9113.41,9177.22,12797.83,117297958.15,69.5,-30.875167380349012,-31.10591548967973,,
554,2020-07-20,9164.42,9224.76,9136.9,9216.02,18729.9,171877002.63,32.72,-32.365112283909184,-31.357754848525623,,
555,2020-07-21,9392.83,9435.55,9162.25,9164.42,34505.35,337645738.93,74.19,-14.942874105399824,-28.074778699900463,,
556,2020-07-22,9537.24,9551.87,9289.85,9392.83,29959.04,281661129.12,78.28,10.397202804888366,-20.3803823989427,,
557,2020-07-23,9615.21,9675.5,9458.25,9537.24,43462.72,415079930.39,78.67,36.35188183369064,-9.033929552416032,,
558,2020-07-24,9550.23,9647.83,9477.19,9615.21,33810.92,323092524.09,41.23,51.088888117410534,2.990633981549281,,
559,2020-07-25,9708.41,9744.72,9536.76,9550.23,24211.0,233301043.7,71.86,74.67111368878795,17.326729922997018,,
560,2020-07-26,9942.01,10140.55,9659.08,9708.41,42161.94,417337407.31,81.42,110.93102131663545,36.04758820172471,,
561,2020-07-27,11042.94,11397.48,9935.51,9942.01,128836.3,1363674374.42,92.45,225.8990854545027,74.01788765228031,,
562,2020-07-28,10933.26,11253.39,10590.98,11042.94,85478.78,938667838.04,43.01,304.65002931802155,120.14431598542856,,
563,2020-07-29,11112.04,11348.53,10854.04,10933.26,61949.48,689206497.21,73.25,377.139343976698,171.54332158368246,,
564,2020-07-30,11113.66,11182.76,10875.14,11112.04,45655.22,503563543.58,67.16,429.764313079917,223.18751988292937,,
565,2020-07-31,11352.72,11454.11,10981.87,11113.66,54108.77,608151203.91,85.7,485.1674163593052,275.58349917820453,,
566,2020-08-01,11812.42,11874.77,11240.98,11352.72,63746.48,741252933.72,92.25,559.7166577735334,332.4101308972703,,
567,2020-08-02,11063.5,12106.89,10694.22,11812.42,63507.01,721639453.44,20.81,552.0027397046415,376.32865265874455,,
568,2020-08-03,11234.73,11476.29,10945.66,11063.5,42060.85,473995003.36,58.48,553.3278154090167,411.728485208799,,
569,2020-08-04,11194.18,11415.16,11021.07,11234.73,35052.44,393301819.23,38.94,544.8254922097785,438.34788660899494,,
570,2020-08-05,11752.05,11791.62,11095.47,11194.18,48146.58,555395574.17,77.18,576.4577405042819,465.9698573880524,,
571,2020-08-06,11771.27,11909.81,11577.8,11752.05,49916.86,587033759.68,65.48,596.204741413032,492.01683419304834,,
572,2020-08-07,11603.82,11912.62,11350.42,11771.27,55865.16,651142052.53,34.4,591.5238476359773,511.91823688163413,,
573,2020-08-08,11770.77,11811.4,11534.87,11603.82,23238.62,271582305.12,67.02,594.4334169259109,528.4212728904895,,
